Line,Zcham,Distance,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,0%,9.387,0,0,0,0,0,0,0,0,0,0,0,0
1,0,10%,8.709,0,0,0,0,0,0,0,0,0,0,0,0
1,0,20%,8.116,0,0,0,0,0,0,0,0,0,0,0,0
1,0,30%,7.595,0,0,0,0,0,0,0,0,0,0,0,0
1,0,40%,7.134,0,0,0,0,0,0,0,0,0,0,0,0
1,0,50%,6.724,0,0,0,0,0,0,0,0,0,0,0,0
1,0,60%,6.357,0,0,0,0,0,0,0,0,0,0,0,0
1,0,70%,6.026,0,0,0,0,0,0,0,0,0,0,0,0
1,0,80%,5.728,0,0,0,0,0,0,0,0,0,0,0,0
1,0,90%,5.457,0,0,0,0,0,0,0,0,0,0,0,0
1,0,100%,5.209,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,0%,8.898,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,10%,8.246,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,20%,7.683,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,30%,7.912,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,40%,6.759,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,50%,6.376,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,60%,6.034,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,70%,5.726,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,80%,5.449,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,90%,5.197,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,100%,4.967,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0%,7.792,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10%,7.296,0,0,0,0,0,0,0,0,0,0,0,0
1,1,20%,6.858,0,0,0,0,0,0,0,0,0,0,0,0
1,1,30%,6.469,0,0,0,0,0,0,0,0,0,0,0,0
1,1,40%,6.121,0,0,0,0,0,0,0,0,0,0,0,0
1,1,50%,5.809,0,0,0,0,0,0,0,0,0,0,0,0
1,1,60%,5.526,0,0,0,0,0,0,0,0,0,0,0,0
1,1,70%,5.269,0,0,0,0,0,0,0,0,0,0,0,0
1,1,80%,5.035,0,0,0,0,0,0,0,0,0,0,0,0
1,1,90%,4.821,0,0,0,0,0,0,0,0,0,0,0,0
1,1,100%,4.624,0,0,0,0,0,0,0,0,0,0,0,0
1,1.5,0%,6.612,0,0,0,0,0,0,0,0,0,0,0,0
1,1.5,10%,6.271,0,0,0,0,0,0,0,0,0,0,0,0
1,1.5,20%,5.961,0,0,0,0,0,0,0,0,0,0,0,0
1,1.5,30%,5.678,0,0,0,0,0,0,0,0,0,0,0,0
1,1.5,40%,5.419,0,0,0,0,0,0,0,0,0,0,0,0
1,1.5,50%,5.182,0,0,0,0,0,0,0,0,0,0,0,0
1,1.5,60%,4.963,0,0,0,0,0,0,0,0,0,0,0,0
1,1.5,70%,4.762,0,0,0,0,0,0,0,0,0,0,0,0
1,1.5,80%,4.576,0,0,0,0,0,0,0,0,0,0,0,0
1,1.5,90%,4.403,0,0,0,0,0,0,0,0,0,0,0,0
1,1.5,100%,4.242,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0%,5.604,0,0,0,0,0,0,0,0,0,0,0,0
1,2,10%,5.373,0,0,0,0,0,0,0,0,0,0,0,0
1,2,20%,5.158,0,0,0,0,0,0,0,0,0,0,0,0
1,2,30%,4.957,0,0,0,0,0,0,0,0,0,0,0,0
1,2,40%,4.769,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50%,4.593,0,0,0,0,0,0,0,0,0,0,0,0
1,2,60%,4.428,0,0,0,0,0,0,0,0,0,0,0,0
1,2,70%,4.274,0,0,0,0,0,0,0,0,0,0,0,0
1,2,80%,4.129,0,0,0,0,0,0,0,0,0,0,0,0
1,2,90%,3.993,0,0,0,0,0,0,0,0,0,0,0,0
1,2,100%,3.865,0,0,0,0,0,0,0,0,0,0,0,0
